Date,Open,High,Low,Close,Adj Close,Volume,TIC
2007-01-02,16.049999237060547,16.5,16.0,16.350000381469727,15.859009742736816,14400,GINNIFILA.NS
2007-01-03,15.75,17.649999618530273,15.75,17.399999618530273,16.877477645874023,81100,GINNIFILA.NS
2007-01-04,17.899999618530273,19.899999618530273,17.600000381469727,19.149999618530273,18.57492446899414,466100,GINNIFILA.NS
2007-01-05,19.25,21.549999237060547,18.950000762939453,21.149999618530273,20.514863967895508,630400,GINNIFILA.NS
2007-01-08,21.5,23.5,21.5,23.200000762939453,22.50330352783203,784400,GINNIFILA.NS
2007-01-09,23.100000381469727,23.149999618530273,19.600000381469727,20.700000762939453,20.078378677368164,423900,GINNIFILA.NS
2007-01-10,20.049999237060547,20.899999618530273,19.799999237060547,20.149999618530273,19.54489517211914,111500,GINNIFILA.NS
2007-01-11,20.5,22.0,20.25,21.649999618530273,20.999849319458008,144600,GINNIFILA.NS
2007-01-12,20.649999618530273,22.0,20.600000381469727,20.700000762939453,20.078378677368164,84200,GINNIFILA.NS
2007-01-15,21.0,21.75,21.0,21.600000381469727,20.951351165771484,85147,GINNIFILA.NS
2007-01-16,22.600000381469727,22.600000381469727,20.600000381469727,20.899999618530273,20.27237319946289,40107,GINNIFILA.NS
2007-01-17,20.149999618530273,21.399999618530273,19.899999618530273,20.149999618530273,19.54489517211914,55515,GINNIFILA.NS
2007-01-18,19.5,21.0,19.5,20.0,19.399398803710938,28238,GINNIFILA.NS
2007-01-19,20.149999618530273,20.149999618530273,19.25,19.549999237060547,18.96291160583496,61562,GINNIFILA.NS
2007-01-22,19.700000762939453,20.549999237060547,19.700000762939453,19.950000762939453,19.350902557373047,54423,GINNIFILA.NS
2007-01-23,19.450000762939453,20.700000762939453,19.399999618530273,19.700000762939453,19.108409881591797,23678,GINNIFILA.NS
2007-01-24,19.799999237060547,19.950000762939453,19.549999237060547,19.649999618530273,19.05990982055664,27967,GINNIFILA.NS
2007-01-25,19.5,20.0,19.399999618530273,19.600000381469727,19.011411666870117,24080,GINNIFILA.NS
2007-01-29,19.200000762939453,19.899999618530273,19.0,19.350000381469727,18.768918991088867,13810,GINNIFILA.NS
2007-01-31,19.0,19.5,18.950000762939453,19.049999237060547,18.477928161621094,22375,GINNIFILA.NS
2007-02-01,19.149999618530273,19.149999618530273,18.200000762939453,18.649999618530273,18.08993911743164,43406,GINNIFILA.NS
2007-02-02,19.0,19.0,17.899999618530273,18.0,17.45945930480957,73873,GINNIFILA.NS
2007-02-05,18.649999618530273,18.899999618530273,17.549999237060547,18.399999618530273,17.847448348999023,33755,GINNIFILA.NS
2007-02-06,18.700000762939453,18.700000762939453,18.049999237060547,18.299999237060547,17.750450134277344,18555,GINNIFILA.NS
2007-02-07,18.5,18.700000762939453,18.100000381469727,18.200000762939453,17.653453826904297,35834,GINNIFILA.NS
2007-02-08,18.5,18.5,18.100000381469727,18.200000762939453,17.653453826904297,34592,GINNIFILA.NS
2007-02-09,18.0,18.0,17.5,17.549999237060547,17.022972106933594,42804,GINNIFILA.NS
2007-02-12,17.5,18.0,16.700000762939453,16.799999237060547,16.295495986938477,53774,GINNIFILA.NS
2007-02-13,17.549999237060547,17.649999618530273,17.0,17.149999618530273,16.634984970092773,23000,GINNIFILA.NS
2007-02-14,17.399999618530273,17.600000381469727,16.850000381469727,17.350000381469727,16.8289794921875,27500,GINNIFILA.NS
2007-02-15,16.899999618530273,17.600000381469727,16.75,17.299999237060547,16.780479431152344,50200,GINNIFILA.NS
2007-02-19,17.450000762939453,17.700000762939453,17.25,17.25,16.731983184814453,21300,GINNIFILA.NS
2007-02-20,17.0,17.350000381469727,16.600000381469727,17.0,16.489490509033203,29800,GINNIFILA.NS
2007-02-21,16.600000381469727,17.100000381469727,16.600000381469727,16.850000381469727,16.343994140625,11600,GINNIFILA.NS
2007-02-22,17.200000762939453,17.299999237060547,16.899999618530273,17.100000381469727,16.58648681640625,18400,GINNIFILA.NS
2007-02-23,16.700000762939453,16.850000381469727,16.25,16.5,16.004505157470703,26800,GINNIFILA.NS
2007-02-26,16.5,17.049999237060547,16.100000381469727,16.649999618530273,16.149999618530273,7000,GINNIFILA.NS
2007-02-27,17.0,17.0,16.549999237060547,16.700000762939453,16.19849967956543,15600,GINNIFILA.NS
2007-02-28,16.049999237060547,16.850000381469727,16.049999237060547,16.399999618530273,15.90750789642334,23800,GINNIFILA.NS
2007-03-01,16.049999237060547,16.450000762939453,15.949999809265137,16.049999237060547,15.568017959594727,21200,GINNIFILA.NS
2007-03-02,15.75,16.799999237060547,15.5,15.699999809265137,15.22852897644043,75757,GINNIFILA.NS
2007-03-05,16.0,16.0,14.949999809265137,14.949999809265137,14.50105094909668,45000,GINNIFILA.NS
2007-03-06,15.699999809265137,15.699999809265137,14.75,15.149999618530273,14.69504451751709,46504,GINNIFILA.NS
2007-03-07,15.600000381469727,15.850000381469727,15.0,15.25,14.79204273223877,55600,GINNIFILA.NS
2007-03-08,15.399999618530273,15.75,15.0,15.699999809265137,15.22852897644043,20021,GINNIFILA.NS
2007-03-09,15.949999809265137,16.5,15.350000381469727,16.450000762939453,15.95600700378418,35100,GINNIFILA.NS
2007-03-12,16.0,16.799999237060547,15.75,16.299999237060547,15.81050968170166,11500,GINNIFILA.NS
2007-03-13,16.75,16.799999237060547,16.100000381469727,16.700000762939453,16.19849967956543,43800,GINNIFILA.NS
2007-03-14,16.0,17.299999237060547,15.899999618530273,16.799999237060547,16.295495986938477,68200,GINNIFILA.NS
2007-03-15,17.299999237060547,17.5,16.0,16.0,15.519519805908203,106200,GINNIFILA.NS
2007-03-16,16.0,16.200000762939453,15.300000190734863,15.899999618530273,15.42252254486084,19984,GINNIFILA.NS
2007-03-19,15.75,16.700000762939453,15.699999809265137,16.649999618530273,16.149999618530273,80600,GINNIFILA.NS
2007-03-20,17.049999237060547,17.100000381469727,16.299999237060547,16.649999618530273,16.149999618530273,19300,GINNIFILA.NS
2007-03-21,16.799999237060547,16.799999237060547,16.0,16.5,16.5,22853,GINNIFILA.NS
2007-03-22,16.799999237060547,16.799999237060547,16.149999618530273,16.350000381469727,16.350000381469727,17200,GINNIFILA.NS
2007-03-23,16.0,16.350000381469727,16.0,16.049999237060547,16.049999237060547,39000,GINNIFILA.NS
2007-03-26,16.0,16.0,15.550000190734863,15.850000381469727,15.850000381469727,33700,GINNIFILA.NS
2007-03-28,15.5,15.899999618530273,15.100000381469727,15.25,15.25,36500,GINNIFILA.NS
2007-03-29,15.050000190734863,15.550000190734863,15.0,15.399999618530273,15.399999618530273,22320,GINNIFILA.NS
2007-03-30,15.5,15.699999809265137,15.25,15.399999618530273,15.399999618530273,14100,GINNIFILA.NS
2007-04-02,15.350000381469727,15.449999809265137,15.100000381469727,15.149999618530273,15.149999618530273,8808,GINNIFILA.NS
