Date,Open,High,Low,Close,Adj Close,Volume,TIC
2007-01-02,181.75,181.75,177.0,179.5,92.88098907470703,1191,INDIANCARD.NS
2007-01-03,181.0,183.5,178.1999969482422,179.9499969482422,93.11383819580078,2328,INDIANCARD.NS
2007-01-04,183.89999389648438,185.0,180.10000610351562,184.0,95.20946502685547,4901,INDIANCARD.NS
2007-01-05,183.3000030517578,209.85000610351562,183.3000030517578,197.3000030517578,102.09149169921875,17973,INDIANCARD.NS
2007-01-08,207.0,219.89999389648438,199.75,214.1999969482422,110.83627319335938,22366,INDIANCARD.NS
2007-01-09,217.0,218.6999969482422,203.1999969482422,206.35000610351562,106.77433776855469,5746,INDIANCARD.NS
2007-01-10,207.0,213.0,198.0,202.5,104.78218841552734,4517,INDIANCARD.NS
2007-01-11,197.0,204.25,197.0,198.75,102.8417739868164,1689,INDIANCARD.NS
2007-01-12,205.0,205.0,196.10000610351562,199.4499969482422,103.20397186279297,2600,INDIANCARD.NS
2007-01-15,194.3000030517578,215.0,194.3000030517578,197.85000610351562,102.37606811523438,6207,INDIANCARD.NS
2007-01-16,195.1999969482422,199.85000610351562,195.1999969482422,198.0,102.45369720458984,784,INDIANCARD.NS
2007-01-17,192.0500030517578,202.0,192.0,200.10000610351562,103.54032135009766,1929,INDIANCARD.NS
2007-01-18,209.75,209.75,198.64999389648438,200.3000030517578,103.64381408691406,3185,INDIANCARD.NS
2007-01-19,200.0,201.0,200.0,200.10000610351562,103.54032135009766,1581,INDIANCARD.NS
2007-01-22,199.0,206.0,199.0,201.39999389648438,104.2129898071289,3091,INDIANCARD.NS
2007-01-23,215.4499969482422,215.4499969482422,187.89999389648438,201.10000610351562,104.05777740478516,4396,INDIANCARD.NS
2007-01-24,192.0,203.75,192.0,199.14999389648438,103.04873657226562,1152,INDIANCARD.NS
2007-01-25,200.5500030517578,201.0,197.75,198.0,102.45369720458984,643,INDIANCARD.NS
2007-01-29,201.39999389648438,201.5,199.0,200.0500030517578,103.51444244384766,2567,INDIANCARD.NS
2007-01-31,200.0,201.0,197.14999389648438,200.1999969482422,103.59208679199219,1018,INDIANCARD.NS
2007-02-01,197.3000030517578,202.0,196.0,196.10000610351562,101.4705581665039,1468,INDIANCARD.NS
2007-02-02,196.0500030517578,206.8000030517578,196.0,202.25,104.65281677246094,1674,INDIANCARD.NS
2007-02-05,195.0,201.9499969482422,195.0,200.35000610351562,103.669677734375,1385,INDIANCARD.NS
2007-02-06,200.9499969482422,200.9499969482422,198.14999389648438,198.4499969482422,102.6865234375,1307,INDIANCARD.NS
2007-02-07,199.9499969482422,200.0,196.25,198.6999969482422,102.81587219238281,841,INDIANCARD.NS
2007-02-08,199.9499969482422,201.0,196.0500030517578,197.35000610351562,102.11735534667969,1981,INDIANCARD.NS
2007-02-09,198.75,200.5,195.5,197.25,102.06562805175781,7537,INDIANCARD.NS
2007-02-12,193.1999969482422,193.1999969482422,186.1999969482422,188.6999969482422,97.6414794921875,1581,INDIANCARD.NS
2007-02-13,204.0,204.0,188.35000610351562,189.64999389648438,98.13304138183594,1858,INDIANCARD.NS
2007-02-14,190.0,199.89999389648438,186.3000030517578,195.39999389648438,101.10832214355469,2915,INDIANCARD.NS
2007-02-15,201.0,201.0,192.0,195.0500030517578,100.92724609375,1903,INDIANCARD.NS
2007-02-19,194.5500030517578,197.0,192.14999389648438,192.1999969482422,99.45252990722656,1961,INDIANCARD.NS
2007-02-20,186.0,197.4499969482422,186.0,191.60000610351562,99.14208221435547,4900,INDIANCARD.NS
2007-02-21,205.0,205.0,185.60000610351562,187.4499969482422,96.99467468261719,1285,INDIANCARD.NS
2007-02-22,195.0,195.0,184.75,187.85000610351562,97.20165252685547,494,INDIANCARD.NS
2007-02-23,190.0,190.0,172.0,175.4499969482422,90.78533935546875,2099,INDIANCARD.NS
2007-02-26,175.0,180.0,173.3000030517578,179.8000030517578,93.03623962402344,1734,INDIANCARD.NS
2007-02-27,179.0,183.85000610351562,176.0,179.4499969482422,92.85511779785156,1197,INDIANCARD.NS
2007-02-28,170.1999969482422,188.0,170.1999969482422,176.85000610351562,91.50978088378906,4579,INDIANCARD.NS
2007-03-01,172.5,182.39999389648438,165.0,170.14999389648438,88.04290771484375,3794,INDIANCARD.NS
2007-03-02,163.60000610351562,182.39999389648438,163.60000610351562,172.6999969482422,89.36238861083984,8972,INDIANCARD.NS
2007-03-05,171.5,171.85000610351562,164.0500030517578,164.9499969482422,85.3521957397461,2104,INDIANCARD.NS
2007-03-06,164.89999389648438,169.0,161.60000610351562,168.35000610351562,87.11151123046875,2532,INDIANCARD.NS
2007-03-07,169.0,172.0,166.0500030517578,168.39999389648438,87.13737487792969,1712,INDIANCARD.NS
2007-03-08,178.4499969482422,178.4499969482422,165.14999389648438,167.35000610351562,86.59407043457031,1191,INDIANCARD.NS
2007-03-09,171.5,171.5,166.0,167.8000030517578,86.8269271850586,2399,INDIANCARD.NS
2007-03-12,172.0,175.0,168.14999389648438,171.39999389648438,88.68968963623047,1742,INDIANCARD.NS
2007-03-13,187.0,187.0,174.0,180.85000610351562,93.57955169677734,1596,INDIANCARD.NS
2007-03-14,183.0,192.89999389648438,180.0,187.39999389648438,96.96881103515625,7862,INDIANCARD.NS
2007-03-15,185.5500030517578,191.9499969482422,185.5500030517578,187.5,97.02054595947266,4001,INDIANCARD.NS
2007-03-16,184.0,184.0,178.25,180.64999389648438,98.74234008789062,2122,INDIANCARD.NS
2007-03-19,179.5,181.8000030517578,175.0,177.6999969482422,97.12986755371094,991,INDIANCARD.NS
2007-03-20,175.1999969482422,180.0,175.1999969482422,179.8000030517578,98.2777099609375,1020,INDIANCARD.NS
2007-03-21,176.0500030517578,176.0500030517578,173.0,175.0500030517578,95.68138122558594,693,INDIANCARD.NS
2007-03-22,174.0,175.0,165.8000030517578,166.85000610351562,91.19932556152344,6765,INDIANCARD.NS
2007-03-23,165.60000610351562,170.39999389648438,163.5,163.8000030517578,89.53219604492188,5527,INDIANCARD.NS
2007-03-26,164.25,166.0,161.5,161.89999389648438,88.49364471435547,5793,INDIANCARD.NS
2007-03-28,163.0,164.35000610351562,157.10000610351562,158.35000610351562,86.55326843261719,3643,INDIANCARD.NS
2007-03-29,161.0,161.0,156.0,159.6999969482422,87.29115295410156,3145,INDIANCARD.NS
2007-03-30,162.0,165.60000610351562,160.0,160.3000030517578,87.6191177368164,1004,INDIANCARD.NS
2007-04-02,157.14999389648438,160.9499969482422,157.14999389648438,159.5500030517578,87.20916748046875,433,INDIANCARD.NS
2007-04-03,169.0,169.0,161.0,164.3000030517578,89.80548858642578,525,INDIANCARD.NS
2007-04-04,163.0,165.0,160.0500030517578,161.1999969482422,88.11105346679688,1175,INDIANCARD.NS
2007-04-05,162.10000610351562,164.0,162.10000610351562,163.64999389648438,89.4501953125,1191,INDIANCARD.NS
