Date,Open,High,Low,Close,Adj Close,Volume,TIC
2007-01-02,91.4000015258789,98.4000015258789,91.0,96.8499984741211,52.29546356201172,545655,JBCHEPHARM.NS
2007-01-03,97.0,101.5,95.30000305175781,98.80000305175781,53.34840774536133,539346,JBCHEPHARM.NS
2007-01-04,99.6500015258789,100.4000015258789,96.5,97.19999694824219,52.48445510864258,128933,JBCHEPHARM.NS
2007-01-05,98.0,105.69999694824219,97.30000305175781,102.25,55.211265563964844,297355,JBCHEPHARM.NS
2007-01-08,102.8499984741211,103.0,98.25,100.05000305175781,54.02334976196289,189808,JBCHEPHARM.NS
2007-01-09,102.0,106.9000015258789,100.6500015258789,105.0,56.696170806884766,514085,JBCHEPHARM.NS
2007-01-10,105.5,105.5,99.30000305175781,102.4000015258789,55.29226303100586,176823,JBCHEPHARM.NS
2007-01-11,103.0,104.44999694824219,101.94999694824219,102.75,55.48125076293945,64924,JBCHEPHARM.NS
2007-01-12,104.69999694824219,104.8499984741211,100.55000305175781,101.0,54.53631591796875,76418,JBCHEPHARM.NS
2007-01-15,102.69999694824219,102.80000305175781,100.0999984741211,100.4000015258789,54.21232986450195,48338,JBCHEPHARM.NS
2007-01-16,100.4000015258789,102.75,100.0,100.55000305175781,54.293331146240234,61184,JBCHEPHARM.NS
2007-01-17,101.0,102.69999694824219,99.5,101.4000015258789,54.75230026245117,96366,JBCHEPHARM.NS
2007-01-18,103.0,104.94999694824219,101.0,101.55000305175781,54.83328628540039,79876,JBCHEPHARM.NS
2007-01-19,103.9000015258789,103.9000015258789,100.6500015258789,102.05000305175781,55.10327911376953,38193,JBCHEPHARM.NS
2007-01-22,103.5,106.5,101.25,104.0999984741211,56.210208892822266,167441,JBCHEPHARM.NS
2007-01-23,106.25,106.25,100.05000305175781,102.19999694824219,55.184261322021484,153776,JBCHEPHARM.NS
2007-01-24,103.25,103.94999694824219,100.0999984741211,101.25,54.671287536621094,83739,JBCHEPHARM.NS
2007-01-25,103.0,103.0,98.0,100.6500015258789,54.34732437133789,108100,JBCHEPHARM.NS
2007-01-29,94.0,101.5,94.0,100.69999694824219,54.37432098388672,32032,JBCHEPHARM.NS
2007-01-31,99.5,103.0,97.5,98.8499984741211,53.37540054321289,39686,JBCHEPHARM.NS
2007-02-01,98.55000305175781,99.25,95.0999984741211,96.9000015258789,52.32246398925781,40711,JBCHEPHARM.NS
2007-02-02,97.0,98.19999694824219,95.30000305175781,96.0,51.83650207519531,54612,JBCHEPHARM.NS
2007-02-05,95.5,97.0,94.0999984741211,94.44999694824219,50.99955368041992,40119,JBCHEPHARM.NS
