Date,Open,High,Low,Close,Adj Close,Volume,TIC
2016-07-13,190.0,190.0,190.0,190.0,182.82388305664062,600,THEJO.NS
2016-07-14,190.0,190.0,190.0,190.0,182.82388305664062,0,THEJO.NS
2016-07-15,190.0,190.0,190.0,190.0,182.82388305664062,0,THEJO.NS
2016-07-18,190.0,190.0,190.0,190.0,182.82388305664062,0,THEJO.NS
2016-07-19,195.0,195.0,190.0,190.0,182.82388305664062,3600,THEJO.NS
2016-07-20,200.0,200.0,200.0,200.0,192.44618225097656,600,THEJO.NS
2016-07-21,200.0,200.0,200.0,200.0,192.44618225097656,0,THEJO.NS
2016-07-22,190.0,190.0,190.0,190.0,182.82388305664062,600,THEJO.NS
2016-07-25,190.0,190.0,190.0,190.0,182.82388305664062,0,THEJO.NS
2016-07-26,190.0,190.0,190.0,190.0,182.82388305664062,0,THEJO.NS
2016-07-27,190.0,190.0,190.0,190.0,183.95338439941406,0,THEJO.NS
2016-07-28,190.0,190.0,190.0,190.0,183.95338439941406,0,THEJO.NS
2016-07-29,205.0,205.0,200.0,200.0,193.63516235351562,1200,THEJO.NS
2016-08-01,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-02,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-03,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-04,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-05,200.0,200.0,200.0,200.0,193.63516235351562,600,THEJO.NS
2016-08-08,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-09,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-10,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-11,200.0,200.0,200.0,200.0,193.63516235351562,1800,THEJO.NS
2016-08-12,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-15,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-16,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-17,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-18,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-19,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-22,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-23,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-24,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-25,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-26,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-29,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-30,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-08-31,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-09-01,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-09-02,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-09-06,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-09-07,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-09-08,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-09-09,190.0,190.0,190.0,190.0,183.95338439941406,600,THEJO.NS
2016-09-12,190.0,190.0,190.0,190.0,183.95338439941406,0,THEJO.NS
2016-09-13,190.0,190.0,190.0,190.0,183.95338439941406,0,THEJO.NS
2016-09-14,190.0,190.0,190.0,190.0,183.95338439941406,1200,THEJO.NS
2016-09-15,190.0,190.0,190.0,190.0,183.95338439941406,0,THEJO.NS
2016-09-16,190.0,190.0,190.0,190.0,183.95338439941406,0,THEJO.NS
2016-09-19,196.0,200.0,196.0,200.0,193.63516235351562,1200,THEJO.NS
2016-09-20,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-09-21,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-09-22,200.0,200.0,200.0,200.0,193.63516235351562,0,THEJO.NS
2016-09-23,190.0,190.0,190.0,190.0,183.95338439941406,600,THEJO.NS
2016-09-26,190.0,190.0,190.0,190.0,183.95338439941406,600,THEJO.NS
2016-09-27,190.0,190.0,190.0,190.0,183.95338439941406,0,THEJO.NS
2016-09-28,190.0,190.0,190.0,190.0,183.95338439941406,600,THEJO.NS
2016-09-29,190.0,190.0,190.0,190.0,183.95338439941406,0,THEJO.NS
2016-09-30,190.0,190.0,190.0,190.0,183.95338439941406,0,THEJO.NS
2016-10-03,190.0,190.0,190.0,190.0,183.95338439941406,0,THEJO.NS
2016-10-04,185.0,185.0,185.0,185.0,179.11251831054688,600,THEJO.NS
2016-10-05,185.0,185.0,185.0,185.0,179.11251831054688,0,THEJO.NS
2016-10-06,185.0,185.0,185.0,185.0,179.11251831054688,0,THEJO.NS
2016-10-07,185.0,185.0,185.0,185.0,179.11251831054688,0,THEJO.NS
2016-10-10,185.0,185.0,185.0,185.0,179.11251831054688,0,THEJO.NS
2016-10-11,185.0,185.0,185.0,185.0,179.11251831054688,0,THEJO.NS
2016-10-12,185.0,185.0,185.0,185.0,179.11251831054688,0,THEJO.NS
2016-10-13,185.0,185.0,185.0,185.0,179.11251831054688,0,THEJO.NS
